"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-1","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-2","11391-JR-3","11391-JR-4","11391-JR-5","11391-JR-6","11391-JR-7","11391-JR-8","11391-JR-9"
"Mycbpap",6.30360524750896,6.07623434694597,6.3147381718099,6.13580196029306,5.94764958458774,6.19344853200015,5.81137139961428,6.14350657726471,6.36740274161778,6.22356251464728,6.09213544788142,6.19600636339702,6.23909693392012,6.11510495450278,6.34654734648392,6.19082706204101,6.20937667882562,6.08344279119521,6.07125805279765,6.09462254548314,5.86303072434824,6.28431030267887,6.36004371018082,6.24366561790981,5.96694518392171,6.0361917216483,6.05441202692132,6.08227356138516,5.91632778979816,6.09459602668074,6.42863634009239,5.95614112365988,6.27130342338899,6.14819397255663,6.2674232818667,6.12363008565988,6.17934698559517,5.99015918007842,6.13746602048533,6.19020172007042,6.29852717758555,6.07686591957238,6.18110503168036,6.12587657801993,5.90744143047107,6.25524152153317,6.15416014413217,5.91221210679461,6.35015355554473,6.46652508372565,6.29470534299586,6.0254416382534,6.10754838299898,6.14057871326234,6.03740457844644,5.96622801568123
"Myocd",6.3809720867894,6.81782111783556,6.23492063038667,5.93738635685937,6.40410931457482,6.42156394487357,6.47874543498941,6.4912963176872,6.41202962555848,6.27479510753796,6.2919996018491,6.41651613861645,6.22752969126856,6.44488067980641,5.97843226583294,6.15185457485252,6.49292016742032,6.70212308329022,6.72436261633929,6.57082829730034,6.49555088195854,6.93187970124571,6.36430887258686,6.3229787219427,6.09177258955266,6.42388053165552,6.33565628180869,6.25772932673148,6.34714283889948,6.61048470646729,6.26171034068116,6.39996818929824,6.41033883941269,6.4716971368824,6.37855549700712,6.39771374652887,6.43600551116863,6.20022562489103,6.4845025921938,6.4287880356607,6.18706000236349,6.41343675019511,6.356184029674,6.20717226280499,6.61305666282309,6.34559945103125,6.44378052696113,6.82158239432579,6.20689861861369,6.17280625898972,6.30382155506042,6.47442521794102,6.502533442275,6.4301990960913,6.56659540578023,6.31723913316663
"Myrfl",5.63267011830306,6.0604353932754,5.30999064345582,5.8100537763111,5.78161732512997,5.79626242840557,5.73100905426594,5.84190080162286,5.30999064345582,5.6741787622705,5.57246599732093,5.70429015652045,5.53487077246972,5.63767931493668,5.43501746162631,5.8429293597108,5.85952225363078,5.84170992242088,5.70608539031216,5.91233626955054,5.64415458486432,5.70854926965774,5.64858415892883,5.70502501605449,5.86699168423528,5.82395983964216,5.78171070953183,5.72160562891801,5.49283525473879,5.63335236672064,5.64198903174256,5.70906034737826,5.6318488806351,5.80171066931509,5.49978766163517,5.69353746799586,5.87605948962213,5.73758438164001,5.59155274416646,5.67921911969555,5.55507793566043,6.02570686801393,5.73900600650777,5.81243761398972,5.79987061457731,5.74001858351211,5.48698579851053,5.78052755076891,5.72925529366793,5.5766782593014,5.7995904736189,5.25917758518734,5.62414333195858,5.80641855171251,5.64766684847595,5.77109234538211
"Mzt2",7.8913925790357,7.8505244114023,7.958340443069,7.7690447272986,7.663758939088,7.52016211588188,7.62269426820072,7.56807141506253,7.92990959494269,7.76665814554788,7.81490216744174,8.02466333204276,7.81127948032104,7.76570606047839,7.78231410361983,7.56495955902304,7.67265732288487,7.70604383342528,7.5174396683935,7.64424693903577,7.96099404642781,7.7686686958697,7.75941738710497,8.23312916434496,7.66214969528206,7.84599303584132,7.62889870520676,7.69182159441871,7.77393659371756,7.70636835285999,7.67097024006566,7.99263180245214,7.86739278756241,7.5949895599605,7.66389768206669,7.66788678612166,7.63996777135457,7.72629017873158,7.66812141249555,7.73792093072624,7.67057535943038,7.76484249579718,7.8956172657255,7.83548562879906,7.63318361592097,7.72309257983172,7.78374809322614,7.82054713933225,7.67541525162413,7.80331997089584,7.75647575588809,7.83718794164804,7.79485110147529,7.62706193316235,7.55219166189181,7.86889041687381
"N4bp3",7.92153865835952,8.13271005484678,8.43489072638625,8.01131401849901,7.98635611844582,7.70947218983797,7.90297244453749,8.14432088558745,8.05692411817476,8.04500687877319,8.38968397028513,8.34211891721453,7.29670717825397,8.04789636471073,7.51814171269358,8.13906233489208,8.01916368406314,7.7759643296914,8.32883527302444,8.43735402766354,8.06073094830103,8.42861863567336,7.92355070126443,8.20585562150823,7.89706624016022,8.31049195989662,7.86869736240413,8.05276600970855,7.99473627106404,8.03990499200639,7.86395627246971,7.87762448011636,8.27673892872234,7.8839571575844,7.9238765987805,7.67378892558113,8.27775091314946,7.86428166186806,7.87188603212018,8.39883846690258,8.04081218892654,8.03798954598295,8.30515094150864,7.53682569395083,8.16620831869644,7.89599854068497,7.80332045223261,8.23930725687923,7.9892333029099,8.16575520285294,7.70592701958396,8.08543501571271,8.32839716232669,8.16391665468581,8.01702401733388,8.0529195118209
"Nat8l",7.55128002884422,7.33409189275525,7.83088379123359,7.4982182407557,7.08229124551202,7.2792007758205,7.5603307542174,8.09456892025115,8.24826894409138,7.56621357152004,7.68563726237965,7.60100352847556,7.72057255451119,7.79621466852099,7.43072492866213,7.48269863577925,7.46447251275234,7.55354939201846,7.79284905632953,7.64832389498827,7.56325278537084,7.05844996981826,6.90764373240609,7.30253237004381,6.68069738991469,6.88793287203793,8.66884988134099,7.12781892586218,7.01486910114559,6.90355466918174,8.92620699100463,8.32191415507316,8.57286623943237,8.77325889090684,7.3637618189877,7.88281886943187,7.25956291823944,8.68258144875509,7.19650011744894,7.03524155854009,7.320251798924,7.30052550857379,7.44368621882527,7.6406403363103,7.04883305859243,7.4734162827348,7.34958199206222,7.20627828742415,8.01780821927815,8.17178246974791,8.10483673792978,7.45783694453766,8.04322523201383,7.4634544212606,7.8503274733416,7.84819874018784
"Ncan",5.5164788532492,5.44645435706377,5.56103192357747,5.60277544455459,5.52802882808192,5.437796925973,5.19379937840196,5.19379937840196,5.80376866115551,5.61841640599143,5.416039352421,5.7212024627388,5.416039352421,5.416039352421,5.62793862675998,5.416039352421,5.416039352421,5.416039352421,5.416039352421,5.416039352421,5.416039352421,5.19069534328227,5.19069534328227,5.19069534328227,5.19069534328227,5.19069534328227,5.67261201505596,5.52951628329255,5.54283180705392,5.19069534328227,6.17731608621747,5.42421720310689,6.00604097868645,5.97531088289236,5.44695407633521,5.19069534328227,5.72648880678266,5.57413224975496,5.19069534328227,5.44287700442212,5.53118162088058,5.45018898480884,5.43192226367539,5.23528127040749,5.23528127040749,5.23528127040749,5.6290433905161,5.23528127040749,5.5684081953846,5.68339811705533,5.73601939166783,5.23528127040749,6.06874399054478,5.55248920798039,5.55279943808013,5.23528127040749
"Ncor1",12.7175958942928,12.7712672901896,12.8067514430131,12.7814374313374,12.7479682721029,12.660266328596,12.7462366997009,12.7067002044215,12.8602011674455,12.7303929934067,12.7242296653729,12.7884400142617,12.8074047953949,12.7479391236068,12.7136941727454,12.7509463842782,12.7459367117838,12.7702527521804,12.8147243870089,12.7704323655343,12.700172942559,12.7538587918947,12.7946056419256,12.8199053947375,12.6946933950876,12.7028199302141,12.7436743204065,12.8295457637475,12.7445103514645,12.7965776939298,12.7945407003577,12.8106100173764,12.6871803535386,12.7818421051766,12.7612197814737,12.7300217149131,12.7009553142853,12.8036661140023,12.6806114122092,12.7213911911364,12.7436710209828,12.7735259466005,12.6103311777042,12.7312697633883,12.7898947928787,12.7755306791946,12.7584274544881,12.7318268005565,12.7152254273372,12.6972453924073,12.8841325223509,12.7184537098063,12.771325931589,12.7128659955645,12.8356072729906,12.8367545230045
"Ndufaf6",6.9817662481624,6.79080093415222,6.984098782834,6.69486897577156,7.06221964936589,7.05765440886125,7.08980271266393,6.95147327591166,6.83881473423317,7.21199960103719,6.84969714914447,6.69560313020024,6.85522941203796,6.78844735126239,7.00916440516979,7.02267592402139,7.13946859813776,6.80977336997793,6.80351362072837,6.89383064942831,7.18926308479568,6.95224688136853,6.8868548619368,6.9231486048701,6.84653104040466,6.92258345675125,6.84351169530474,6.89209463508083,6.75319517515458,7.06534178776775,6.87666791831265,7.1775061052426,6.8918885950125,7.17604077519763,7.02186142787679,6.73265522231856,7.18312124854792,6.89850363328822,6.77208930408735,7.02621260005055,6.94249603302259,6.81129211418985,6.91639087223609,6.68426167528063,6.99897643806942,6.93454521104718,7.07475075529874,6.76665671596588,6.88086307452516,6.88881663464991,7.07531648035627,7.01672693548151,7.08375166173996,7.05138103177843,6.93811114832249,6.96055161262453
"Nedd4l",10.5004905866494,10.3445632549354,10.6276767756714,10.631227006657,10.3230671496961,10.3831284157347,10.4199447068782,10.4651964010096,10.8108274263952,10.5076979970357,10.2997611890805,10.5011360519337,10.5990570775504,10.3915277425231,10.6140167213923,10.572273700766,10.5963407112573,10.5930274099012,10.4098380698386,10.3150328530826,10.6084527738079,10.4373847793095,10.5881754180475,10.2966469642376,10.5373129068268,10.437956070851,10.5918641120951,10.4680362694057,10.4029833376159,10.4359446853011,10.6652413148637,10.5425883514729,10.5950599398104,10.7469598735938,10.50251121751,10.5253509888279,10.3332110321998,10.4809042947252,10.4983504344284,10.4264416476458,10.4501074865854,10.4551656824607,10.4509857723195,10.8453981645123,10.5359711025197,10.5644439034579,10.4690386419209,10.4212881295166,10.5282336291506,10.6458543704476,10.6406808093077,10.258354592733,10.3477448341931,10.417813837373,10.5194514417236,10.4603506660041
"Nek8",7.91488674002116,7.89272390294101,8.02301148613071,7.8969229564354,7.99065532061541,7.98076964208888,8.08883769267093,8.02919574653718,7.63273779272502,8.06143709507866,8.09467130749264,8.03581292140424,8.11591079734043,7.95826791355905,7.65321434585659,7.68839592722459,7.85993356660551,7.93881011407855,7.94334996367779,7.94436748088282,7.97215027368671,8.04365278824624,7.93206414935271,8.00536028495959,8.0549886925681,7.98995069785823,7.88085040043384,8.02848372065387,7.99127069204743,8.01392358232435,7.8911586309331,7.81432552680945,7.91278963810413,7.86751941236104,7.80433720582605,7.81706644193384,8.08711994894121,7.9626851290056,7.69297996988393,8.04781579032929,8.03847477102172,7.82175775280039,7.92753995345315,7.72868026479759,7.69835514237145,7.84255690971788,7.89458566316929,8.03114907924319,8.03645225255571,7.99686052890957,7.95692009820616,8.14192425712295,8.06015161682231,7.90358976672243,7.83442074346505,8.10834347547126
"Nfatc2",11.1122793710428,11.0856664208546,11.4173785040022,11.3159556121248,10.7050517382869,10.7819189831793,10.7898435092545,11.0365306009199,11.809134499861,10.8903282879928,11.3363586934461,11.0953153808036,11.0154883089145,11.3697619812397,11.240996486185,10.9571560470583,11.0621599762406,11.1374315536384,11.0319039862245,11.0894850161787,11.1786266014458,10.7680532281108,11.2956566925374,11.5172242700052,10.9734493509656,11.2630213934642,11.4323890711257,11.2284313241527,11.124972021886,11.1103300844478,10.979297810419,10.8784084115397,11.0847295449075,11.01053985031,11.0987128307016,10.865745213971,11.2604720239637,11.1219616697657,11.0801233890289,11.1310846576969,11.1789557855961,11.0291036969848,10.7868432367554,10.3179826722796,10.8846805994564,11.036635939024,10.9860768741292,11.2985231574231,11.3914910799068,11.2161589190869,11.300446435815,11.0534620883089,11.2676685261163,11.1925674719195,11.5402175383198,11.3925357380358
"Nim1k",7.67010071498004,7.97787254433183,7.537700090022,7.96897063422293,7.95523681966709,8.01245744309617,7.86587350895754,7.77326101323343,7.80237844754464,7.68726006705949,7.79739826811239,7.68111356953643,7.78877656321169,7.83723102953754,8.10882012166679,7.68179600662338,7.77734846563523,8.0093164793993,7.74093538004567,7.90860399041506,8.06653501349794,7.96444580708059,7.87810056259897,7.77190246128665,7.7966882184135,7.96696637582061,7.82186770034391,7.93300213676086,7.96874701810885,7.74119750455716,7.87516078444336,7.7716026036103,7.77507591150469,7.83513593351145,7.46921036649143,7.68261841295775,7.97855566369889,7.80768872788578,7.94377845923478,7.98638569669693,7.69271644131285,7.82881201070947,7.96185847441494,8.04589086254325,7.89491606043046,7.76524201237141,8.12405939929492,8.1524974974731,7.58978896326281,7.58509189788514,7.58952274636383,8.02542342802242,7.8700683081275,7.72458504940989,7.59227936147401,8.00409409322524
"Nmnat1",7.67979873043139,7.57001427265033,7.82478105186396,7.4884329090197,7.88795610552574,8.0161246372575,8.07608439650923,7.90960352138257,8.11339690408859,7.92327889522199,7.97385612677073,7.88148932183187,7.81309782785594,7.52168725680195,7.81946446037353,7.75979882362219,7.96147732910741,7.95583562215525,7.73244692519554,7.79324108076484,7.9525830352708,7.71554213819918,7.7297588269683,7.81720526130935,7.86999856401303,7.83549112151548,7.8354797162147,7.83267312415919,7.87057523042947,7.63213849314519,7.81093192138175,7.90077782823176,7.8768175045134,7.93137398985073,7.76542166620808,7.90676002213771,7.84690287278893,7.92097605423784,7.88849522442763,7.98575355647401,7.77034005650932,7.74164160821497,7.824270084413,7.77546405905683,7.86126313112446,7.75645597751071,7.91567052832455,7.92065894930056,7.87398463226963,7.67893296665687,8.00543135538771,7.90353985307625,7.85552975983275,7.84156163215507,7.73614103891168,7.99012330721838
"Nnat",9.41238756596111,6.87964590319957,10.0277086520837,8.74433737338258,8.86808065979466,7.0663357283119,9.96396377273156,8.66127041975889,9.56132002171923,8.83173762502669,8.55460702231452,8.45634699461156,8.90564946357525,8.91337273315362,8.98802442107903,8.57507648045688,8.83010227059112,8.56263348110995,9.03355836046311,8.88975536304762,9.03920258049489,7.593411446377,7.32359939120065,8.75568506303119,7.59957784820436,7.35471209484971,10.9872048752603,8.81849459091313,9.52605172329289,8.52088263062033,10.1636139830406,10.1524234475745,9.49966726423257,9.04620997515013,8.47740694753078,8.380903446417,8.01766920784595,10.2046688173739,8.32643193384516,8.41982440678667,8.54242873275571,7.68779686283997,8.01417379886811,8.31825469958638,7.47251193743521,7.84004910731616,7.49981018730477,7.81504232884455,10.3114175050351,9.70198182525512,10.0532036773778,8.69437041405676,10.8229211156839,9.2156627340608,9.62891496282623,9.15488250531919
"Nnmt",8.61494055000964,8.23738769849215,8.33245878779486,8.36141205779259,8.28387906933893,7.67084362240134,8.37057094416584,8.41635709082192,7.95067527289704,8.0333508145605,8.4351811020826,8.24638337544566,8.05554660782027,8.22456790195692,8.68848807227423,8.2499062579249,7.86306375359371,8.25361461680017,8.13454204496604,8.16345070556109,8.63660487196634,7.80428054306404,7.82556263811868,8.60372404020693,7.83528346969523,8.08215636027673,8.97944304522381,8.33108016818649,8.20899605787995,7.79537689216155,8.9879918190776,8.71689595534721,8.3030614288304,8.36373006274038,8.15405998704403,8.12814427988816,7.87849861733085,8.63497781328575,8.01194455641873,8.08056746306482,8.2194933011204,8.16832087635227,8.27464868669232,7.50817639607695,8.13426625368913,7.76558101190193,8.11399928096334,8.18611158752664,8.3765575366014,8.18865535401934,8.50839647955855,8.5092864656445,9.12383316637367,8.13324845655017,8.56335407058371,8.20567124294891
"Nono",12.0821516447257,12.061044775512,12.0099325133469,12.2141669232511,11.9974038763001,11.8574745697122,11.9965491470262,11.8490749763286,11.8696665108177,11.9889804917421,12.0204953444347,12.0093925253685,12.0283543485904,11.9331391262691,12.0818081233563,12.0446392638629,11.9526225061417,11.9557323627509,11.9061974560508,11.920183198005,12.075075169455,11.922713531458,11.9970849733843,12.1072013488352,12.0214467444804,12.0343225569127,11.9308592885131,12.0390354944739,11.9958382494879,11.9487718015022,12.0448360461869,12.031176878534,11.9543598139189,11.9832827601782,11.9857900886497,12.0445507612414,11.9315867749338,11.8956419590706,12.0396711877427,11.9598112742062,12.0767058052482,11.9722320349503,11.9093813733101,11.976746660837,12.1504290747886,12.0181528613637,11.9644151201348,11.9520691833558,11.8981319120641,11.9087779992942,11.8899190356643,12.1260274465209,12.1009853902922,12.0771464467567,11.9884680053234,11.8792382047992
"Nox1",5.53296795688323,5.55721681235743,5.67179437887114,5.30456183369562,5.71345373130847,5.79083361864537,5.94469846426516,5.78085004493941,5.30456183369562,5.54761344054273,5.66470895955964,5.63504374205871,5.88158108168264,5.55528418288919,5.47354202431226,5.26164274997327,5.56353371526312,5.70071509298105,5.79021939965269,5.66207121889069,5.73196262507595,5.77561624069179,5.64168242237735,5.3105958996163,5.78344605783898,5.67917032847498,5.3105958996163,5.55045311985056,5.74134286952706,5.94401338660034,5.3105958996163,5.77612731841232,5.58559270138581,5.78317779230318,5.6725272235403,5.70070695888604,5.72656657441919,5.3105958996163,5.65861971520052,5.56277756075614,5.816133465925,5.58764953026859,5.71223450320496,5.81206983221104,5.54245449997255,5.5894868484217,5.48085138299155,5.52866220071807,5.62909256970812,5.95980089049346,5.69942774965909,5.5553269331265,5.62935528948955,5.54712530662398,5.38376020005369,5.48379310764139
