Gene_Symbol,NOD 1,NOD 2,NOD 3,NOD 4,NOD 5,NOD 6
Nfs1,0.9316756,1.0024401,1.104016,0.9975599,1.3432146,1.1009098
Gpr83,1.0042943,0.9463486,0.99570554,1.1090109,1.1932695,1.2741362
Pdpk1,1.0845865,1.2662921,1.0171226,0.9828773,1.0943403,0.93462855
Cyp2b20,0.9562641,1.10274,1.1924317,0.92678833,1.0437359,1.0475155
Slc2a3,1.0728896,1.0078355,0.9921645,0.93729603,1.0749863,1.3838493
Zranb3,0.9815682,1.146796,0.9940563,1.0059435,1.069213,1.0316421
Cnnm2,0.93699765,1.0630023,1.0677199,0.87268686,1.1830175,1.1804614
Atp2a3,1.0426146,1.0388889,0.96111107,1.0648042,0.9327842,1.2651986
Bcas3,0.99343055,1.0065694,1.0119243,0.9306575,1.0700479,1.1745236
Rnpepl1,0.9563581,0.9727711,1.1075401,1.027229,1.0389954,1.3059065
Trib3,0.9396715,0.98849875,1.0115012,1.1519431,1.0890789,1.0801517
Faah,0.96596855,0.8531214,1.1180108,1.0340313,1.1999894,1.1827041
Apg12l,0.9441257,1.1159918,1.0161808,0.9838192,1.3006027,1.219731
Aldh2,1.1200773,0.9952854,1.0392466,0.9651124,1.0047147,1.2420412
Hspb6,0.97118044,1.064013,1.2997783,0.8976818,1.0742202,1.0288196
Ptp4a2,0.9370927,0.98650926,1.0134909,1.0875009,1.1877013,1.2195042
Lamp2,1.120342,1.0043162,1.1524143,1.0306894,0.91815084,0.9956839
Usp4,1.0052273,0.99477273,0.92594296,1.0184324,1.1658944,1.1378263
Tnfrsf14,1.0023881,0.99761194,1.0098379,1.0298736,1.0305458,0.9366347
Xkh,0.9289573,1.1061939,1.1259787,0.9689595,1.208497,1.0310404
Hist1h2bn,1.0059329,1.0094312,1.1281682,0.83081347,0.994067,1.049795
Mic2l1,1.0037293,1.2135434,1.1183553,0.92082626,0.9962707,1.0453886
Sgne1,1.0255808,0.89642173,0.9744193,1.099631,1.135322,1.1962636
Phgdhl1,1.0001149,0.92491007,0.9998851,1.1651062,1.2067962,1.2195026
Gfer,0.9895329,0.8609265,1.0888193,1.0700095,1.0104672,1.1776865
Loh11cr2a,0.94234043,0.9944852,1.0286905,1.0055147,1.2005447,1.2253313
Lim2,1.1098453,0.8698086,1.1697145,0.99725133,1.0027487,1.0440013
2900073G15Rik,1.0147398,0.9311226,1.109518,0.9852602,1.1195271,1.1835854
Ptp4a2,0.9632703,0.99201155,1.0079886,1.1995943,1.1550868,1.2572232
Sytl1,0.9239834,0.9385848,1.0614153,1.0912043,1.1604255,1.2085779
Laptm5,0.9344925,0.98116523,1.0188348,1.0328476,1.0750235,1.2081431
Pcmt1,0.9753438,1.0129886,1.0615083,1.0024551,1.2773331,0.99754494
D14Ertd226e,0.909182,1.0048251,1.057083,0.99517477,1.0732635,1.2520134
Hist1h2be,1.0930334,1.1376914,0.98611,0.95094895,1.0138899,1.2881795
0610039N19Rik,0.99445087,0.95636976,1.0403864,1.0055492,1.07143,1.1844559
Cpne4,1.0189347,0.920764,0.9810653,1.1596097,1.1708096,1.1320636
Paox,1.0290207,0.9170102,1.160824,1.0054594,0.99454063,1.1822388
Gprk5,0.9761076,1.0515367,1.0238924,0.9408169,1.0542748,1.2716315
Cd28,1.0470433,0.9806242,1.1856958,1.0039676,0.99603236,1.0285863
Mtmr1,1.0438359,0.9763558,0.8786456,1.1562651,1.0236442,1.1161867
Ndufb10,1.0702536,0.9504259,0.9712792,1.0287209,1.1329883,1.15609
Cd28,1.0289352,0.9309422,1.0792719,1.0404843,0.9710646,1.1412438
Ctse,1.0486163,0.9872761,1.1464663,0.94432294,1.0127238,1.1523426
Ryk,1.0016865,1.1270152,1.0466931,0.93971133,0.9983136,1.1398224
Itih4,1.0240275,1.0244646,1.1243874,0.9759725,0.9576572,1.1355213
Arrb1,1.0352378,1.0324389,0.9160834,0.96756107,1.1018444,1.1335331
Ptp4a2,1.1722482,1.0635809,1.0366852,0.92554164,0.9977736,1.0022266
Csnk1g2,1.0415767,0.960791,0.9564058,1.0392089,1.1454171,1.0812231
Fbxo2,1.0376774,1.115836,1.1370553,0.9323673,0.96232253,1.1052438
Tgfb1i1,1.0384258,1.0491453,1.133466,0.9813595,0.93332535,1.0186405
Pdpk1,1.0708542,1.0325719,1.1016788,0.954143,1.0864432,0.96742797
Brd2,1.1455203,1.0277592,0.9999773,1.0000228,1.1312206,0.98336095
Mustn1,0.9778775,1.0221224,1.0460045,1.0448673,0.97384375,1.0509373
Mxd4,1.0892559,1.0001495,1.149317,1.1307123,0.95479196,0.9998505
C030046M14Rik,1.0032167,0.9846326,0.9967832,1.0553464,1.0747529,1.0888963
Qprt,1.1305852,0.91365063,0.9988793,1.0279077,1.0011207,1.054085
Pi4k2b,0.9735489,0.9835448,1.156505,1.0164552,1.0932686,1.0989985
Hba-a1,1.0632966,1.0896164,1.008467,0.9354476,1.0404195,0.99153304
Farsla,1.1475455,0.9710871,1.0289128,0.94320005,1.1051058,1.0436224
BC054438,0.9768076,1.0614924,1.0593402,0.9837163,1.112663,1.0162838
Gpx1,1.0418278,1.0588524,1.0497652,0.95817226,1.0535831,0.94723254
Rhot2,1.0034082,0.9949793,1.0075359,0.9965916,1.0582074,1.0622848
Rbl2,0.9854003,1.0609514,1.048465,1.0145998,1.0619903,0.94763875
Aldh5a1,1.0260537,0.94838697,1.0420747,1.0506772,0.9739463,1.0325773
Mrps10,1.0765616,0.9225666,1.0400186,0.98824555,1.034645,1.0117544
Tesp1,1.1012819,1.0222578,1.0222735,0.9701114,1.009749,0.9902509
Zfp30,1.0320494,0.959085,0.98678225,1.0132179,1.0133024,1.0839298
E130016E03Rik,1.0044355,1.0306082,1.01221,0.99996215,0.9235649,1.0000379
Scp2,1.0336881,0.99670637,1.0102127,1.0032936,0.98906195,1.0088174
Klhdc1,1.0213714,0.9613691,0.97862864,1.0314498,1.0347655,1.1269057
Tuba8,1.0757695,1.0004714,1.0616112,0.99952865,0.9919795,1.0215746
Ap3m1,1.0027777,1.0233554,0.9579223,0.99722236,1.0695215,1.0923557
Il7r,1.0930355,1.0656843,1.0649338,0.97399515,1.01458,0.98542
Cbr3,1.047402,0.9939589,1.0313851,0.9760659,1.006041,1.048292
Zfp69,0.97433,1.0413418,0.9368325,1.02567,1.0371287,1.0946512
4931408C20Rik,1.1124953,1.0396796,1.017391,0.9813008,0.98260915,1.0831658
St7,1.017788,1.0688763,0.98221195,0.9738486,1.0511525,1.097441
Egln3,0.96513957,1.0935318,1.0592077,0.99766266,1.0023373,1.0984513
Agpt,1.008575,1.0903732,1.0106657,1.0344107,0.97192895,0.99142504
Rpl41,1.107686,1.0144566,1.0279577,0.9645748,1.0375515,0.98554325
Prickle1,1.0161599,0.98384017,0.9446656,1.0360041,1.0925937,1.0500005
4930455C21Rik,1.0185962,0.95319754,1.0480496,0.98207957,1.0179203,1.0869642
4732437J24Rik,0.9925772,0.9670861,1.0074227,1.0703467,1.0329279,1.1066763
Clra,1.0007622,1.0279688,0.99923795,0.98174715,1.0510787,1.0065863
Lcmt1,1.0035388,0.97915024,0.99646115,1.0130702,1.0609677,1.0910033
Gnb4,1.0064737,1.0345685,0.9935264,0.97427803,1.1124195,1.0370966
LOC217066,1.0540093,0.9837166,1.06381,0.9999086,1.0000916,1.0118489
Ndrg2,1.0828633,1.0028203,0.97693986,0.99894583,1.0010542,1.025825
Tuft1,1.0057802,0.9942056,1.0056047,0.99439526,1.0800041,1.0317845
Clm3,1.0840834,1.0127877,1.0691655,0.9851691,0.98721236,1.0262656
Trib3,0.9761519,1.0162965,0.98370343,1.0455678,1.0648726,1.0196815
Ascc2,0.9918741,1.0049981,0.9950018,1.0451587,1.0305395,1.0802157
1700127F16Rik,0.98698705,1.036278,1.0355666,0.9839188,1.0252497,1.013013
2810453L12Rik,1.0617058,0.9814022,1.0227538,0.99273914,1.0072609,1.0177468
Nfs1,0.98332757,1.030226,1.0204078,0.95508265,1.0166724,1.0362206
Prom2,1.0375144,1.0265365,0.95746183,1.016673,0.9992477,1.0007522
Reck,0.97764623,0.9960821,1.0039179,1.0444661,1.0153676,1.0529195
Laptm4b,0.98682845,1.0172682,1.0373515,1.0035493,1.0440707,0.9964507
Tm4sf12,0.9911002,1.047951,0.9993093,1.0006907,1.0087291,1.0090625
Trib3,1.018963,1.0026733,1.0070086,0.996415,1.0040783,0.9973268
Piga,1.0005362,0.9793085,1.0361117,1.0461687,1.0046142,0.99946374
Chek2,1.0427716,1.0302151,0.9889778,1.0129095,0.9817079,1.0110222
Ntrk3,1.0241828,0.99757,0.99295026,1.00243,1.017452,1.0469424
Usp2,0.9994788,0.9980991,1.013336,1.0013415,1.0477844,1.0005211
Bmp5,1.0392277,0.9851212,1.0322256,1.0246642,0.99248844,1.0075117
Slc6a1,1.0502523,0.9799595,1.0151808,1.0179663,1.0027572,0.99724275
Lrpprc,1.003,0.9938733,1.027389,1.054651,1.035152,0.9969999
Bai2,1.0182176,0.9969297,1.0138671,1.0065373,1.0030702,0.971403
BC024955,1.0418397,1.0001426,1.0196335,0.96982306,0.9998574,1.0185981
Cacna2d3,1.0375253,1.026121,1.010067,0.99288887,1.0071112,0.98894197
Cd6,1.0137005,1.0299301,0.99985224,1.0126668,1.0001477,0.996855
Ptpns1,1.0258744,0.9926923,0.99960536,1.0421542,1.0003946,1.0332094
Ica1,1.032757,0.99508244,1.0049176,0.99299157,1.0335219,1.0251553
Gm1805,1.0345869,1.0037053,1.0133554,0.9962949,1.0093061,0.98600984
Nupl1,0.9970269,1.003414,1.0019011,1.026641,1.01071,0.9980989
Mgat5,0.99912643,1.0008736,1.0039114,1.017237,0.9882635,1.0121021
2310047I15Rik,1.0024577,1.0145253,0.99754226,1.0107833,0.99373496,1.0046066
Sfmbt1,1,1.0001731,0.9704265,0.9841172,0.9934282,1
Alg8,0.98177755,0.99826807,0.98928994,1.0017318,1.0081646,0.9927964
Aatf,1.0146432,0.9873105,0.9760939,0.98064744,0.98742527,1.0125747
4930431B11Rik,1.0030524,0.9969476,1.0056412,0.9845979,0.9813626,0.9824269
Eif2c3,1.0031394,0.97753716,0.9851394,0.9968605,0.9805595,1.0117224
Des,0.997173,0.99736005,0.98947495,1.0055437,0.97649914,1.00264
2310037I24Rik,0.9893245,1.0106753,1.0160773,0.9889644,0.9730054,0.9816383
Pabpc4,0.9932961,1.0216112,1.0067039,0.9805912,0.9889443,0.9768689
Tbx6,1.0140871,0.96836275,0.97316825,0.9990545,0.98022443,1.0009456
A530090P03Rik,0.9892923,1.0037886,0.9934197,0.98308015,0.99621135,1.0350158
4930579J09Rik,1.0017099,0.9684629,0.9668732,0.99829006,1.0141348,0.98707813
Apbb1,0.99365044,1.0217619,0.9952107,1.0047895,0.9746967,0.96750176
Ifng,1.0121268,0.9830341,0.97200954,0.98970324,1.0054753,0.9945247
Appbp1,0.9981087,1.0018911,1.0151088,0.9785724,0.9665522,0.984479
2610510B01Rik,1.0296665,1.0039396,0.9960604,0.9710124,0.98534185,0.97073317
Nsun5,1.0027075,0.99729246,0.97403586,0.9888812,1.0353267,0.9888402
Cd200,1.0064573,0.9652846,1.004137,0.98548305,0.97142655,0.9958631
9830160G03Rik,0.98576367,0.99831855,0.9929629,1.0060614,0.98380345,1.0016814
Ttll1,0.97774154,1.0236205,0.98118526,0.9667278,0.9743017,1.0188148
Lims1,0.98911226,1.0194281,0.973264,0.99172777,0.9950074,1.0049925
2610109H07Rik,1.0015253,1.0062248,0.9984747,0.98994195,0.9881287,0.9512203
9130023D20Rik,1.0394974,0.9957398,0.9886431,0.98591113,0.9729504,1.0042602
1810030N24Rik,1.0004919,1.0082633,0.99465346,0.99395543,0.98023456,0.9995081
Oazin,1.0075072,0.9917298,0.9503288,1.0135614,0.9924929,0.9842734
Rgs1,0.98508966,1.0026525,0.9857076,1.0048435,0.96090335,0.9973476
Lcp2,0.9776244,0.9827188,0.95780164,1.0105761,1.0041023,0.9958977
Afmid,1.005221,1.0254178,0.99477893,0.9550099,0.9640859,0.9649756
D14Ertd231e,0.95336396,0.96316713,0.9849406,0.9991228,1.0008771,1.0155181
Skb1,1.030306,1.0010387,0.97765106,0.97659075,0.9989615,0.96147543
H2-Q5,1.033749,0.9962442,0.98043966,1.0037558,0.9764681,0.95982724
As3mt,0.99896157,1.005211,0.96515614,0.9637518,0.95732224,1.0010384
Ppox,0.9704624,0.9851738,1.014784,0.99799484,0.9776633,1.002005
Flt3l,1.0197405,0.9615991,0.96202356,0.9933979,0.9688629,1.006602
Bpnt1,0.9553512,0.9946624,1.0074024,0.9782595,1.0053376,0.93504727
Mtmr4,0.97299194,0.9593297,1.0269233,1.0043116,0.9734599,0.9956885
Arch,1.0194525,1.0055361,0.9767021,0.9890078,0.99446386,0.9768795
Rrm2,0.98391706,1.0273484,0.9759842,0.98896116,1.0108325,0.98916745
4632428M11Rik,0.9957979,0.9566172,0.99844366,1.0015562,0.9828576,1.0129669
1500003O22Rik,0.9711029,0.97374535,1.0081674,1.0097834,0.99183255,0.9426748
BC013667,0.99454236,1.0158362,1.0009828,0.9863625,0.9846722,0.99901724
